Title,Date,Source Type,Publication Title
OPEC Leaders Affirm Support For Price War,2/4/1986,Historical Newspapers,Wall Street Journal
Oil Contracts Plunge as Doubt Grows OPEC Can Stabilize Petroleum Prices,2/4/1986,Historical Newspapers,Wall Street Journal
"Stocks Soar to Records, Sending Industrial Index Up 23.28 Points",2/4/1986,Historical Newspapers,Wall Street Journal
OIL PRICES,2/4/1986,Historical Newspapers,Wall Street Journal
Price of Barrel Of Oil Near $17,2/4/1986,Historical Newspapers,The Washington Post
Report Says Total Will Hit Nearly $5 Billion This Year,2/4/1986,Historical Newspapers,The Washington Post
Stock Prices Surge Ahead,2/4/1986,Historical Newspapers,The Washington Post
COMMODITIES,2/5/1986,Historical Newspapers,Wall Street Journal
OPEC Session Fails to Reach Output Accord,2/5/1986,Historical Newspapers,Wall Street Journal
"Dow Tops 1,600, Then Falls Back",2/5/1986,Historical Newspapers,New York Times
Prices of Crude Oil Near $15 a Barrel,2/5/1986,Historical Newspapers,New York Times
Reagan Leaves Door Open For Oil or Gasoline Tax,2/6/1986,Historical Newspapers,New York Times
Southland Signs Pact To Sell Half of Citgo,2/6/1986,Historical Newspapers,New York Times
Oil Prices in Moderate Rally,2/6/1986,Historical Newspapers,New York Times
"Finally, Gasoline Prices Start to Fall at Pump",2/6/1986,Historical Newspapers,New York Times
Sohio Predicts It Can Weather Oil-Price Drop,2/6/1986,Historical Newspapers,Wall Street Journal
COMMODITIES,2/6/1986,Historical Newspapers,Wall Street Journal
"As Oil Prices Slide, Some Contrarian Analysts Say Certain Petroleum Issues Are Attractive",2/6/1986,Historical Newspapers,Wall Street Journal
Dollar Falls on Budget Proposal,2/6/1986,Historical Newspapers,Wall Street Journal
Southland to Sell 50% of Citgo TO Venezuela,2/6/1986,Historical Newspapers,Wall Street Journal
'WTI' Joins Oil-Watch Lexicon,2/6/1986,Historical Newspapers,The Washington Post
An Oil Import Fee? Not Yet.,2/6/1986,Historical Newspapers,The Washington Post
COMMODITIES,2/7/1986,Historical Newspapers,Wall Street Journal
Oil Prices Up Modestly; Trading Reported Light,2/7/1986,Historical Newspapers,New York Times
Yugoslav Oil Plan,2/8/1986,Historical Newspapers,New York Times
U.S. Eases Libyan Oil Curb Rules,2/8/1986,Historical Newspapers,New York Times
Falling Oil Prices Send Mexican Peso Plunging,2/8/1986,Historical Newspapers,The Washington Post
Has Canada Lost Its Oil Gamble?,2/9/1986,Historical Newspapers,New York Times
The Thinking Behind OPEC's Clearance Sale,2/9/1986,Historical Newspapers,New York Times
OIL PRICE CREATES TROUBLE IN TEXAS,2/9/1986,Historical Newspapers,New York Times
A Clouded Future For the 1987 Budget,2/9/1986,Historical Newspapers,New York Times
The Nation,2/9/1986,Historical Newspapers,New York Times
Energy-Loan Problems Intensify for Banks,2/9/1986,Historical Newspapers,The Washington Post
Solving the Low-Salt Diet Dilemma,2/9/1986,Historical Newspapers,The Washington Post
Intergroup Sets Pact to Acquire FoxMeyer Corp.,2/10/1986,Historical Newspapers,Wall Street Journal
Economy's strength Seen Lasting Most of Year,2/10/1986,Historical Newspapers,Wall Street Journal
Texas Eastern Had 4th-Quarter Loss Of $96.8 Million,2/10/1986,Historical Newspapers,Wall Street Journal
Oil-Price Crisis Strains Policies of Go-It-Alone Producer Norway,2/10/1986,Historical Newspapers,Wall Street Journal
Merc Leaves Potatoes Behind,2/10/1986,Historical Newspapers,New York Times
Market Place,2/10/1986,Historical Newspapers,New York Times
Nigeria's Military Leader Gaining Support,2/10/1986,Historical Newspapers,The Washington Post
Exxon's Time of Opportunity,2/11/1986,Historical Newspapers,New York Times
Mesa Used Oil Futures Shrewdly,2/11/1986,Historical Newspapers,New York Times
"Oil Rally Fails, Buoying Wall Street",2/11/1986,Historical Newspapers,New York Times
COMMODITIES,2/11/1986,Historical Newspapers,Wall Street Journal
Panel Isn't Suggesting Penalty for Legislator Who Got Illegal Gifts,2/11/1986,Historical Newspapers,Wall Street Journal
Venezuelan Oil Under $15,2/11/1986,Historical Newspapers,The Washington Post
Argentina to Allow Foreign Companies To Explore for Oil,2/11/1986,Historical Newspapers,The Washington Post
Natural Gas Price Drop Foreseen,2/11/1986,Historical Newspapers,The Washington Post
France and Britain Lower Price of Coal To Deep It Competitive With Fuel Oil,2/12/1986,Historical Newspapers,Wall Street Journal
U.S. Electricity Production,2/12/1986,Historical Newspapers,Wall Street Journal
COMMODITIES,2/12/1986,Historical Newspapers,Wall Street Journal
Dow Declines 3.56 in Mixed Market,2/12/1986,Historical Newspapers,New York Times
Oil Prices Drop Again; Heating Fuel Stocks Off,2/12/1986,Historical Newspapers,New York Times
Domestic Petroleum Industry Undergoing Major Restructuring,2/12/1986,Historical Newspapers,The Washington Post
An Excise Tax on Oil,2/12/1986,Historical Newspapers,The Washington Post
Arco Cuts Spending $1.6 Billion,2/13/1986,Historical Newspapers,New York Times
Price of Home Heating Oil At 7-Year Low in New York,2/13/1986,Historical Newspapers,New York Times
Dow Rises 7.11 to Another Record,2/13/1986,Historical Newspapers,New York Times
Oil Drops Below $16; Livestock Also Down,2/13/1986,Historical Newspapers,New York Times
"Arco Slashes Capital Budget, Cites Oil Prices",2/13/1986,Historical Newspapers,Wall Street Journal
"Despite Rapid Drop in Oil Prices, Gasoline Prices Seen Falling Slowly",2/13/1986,Historical Newspapers,Wall Street Journal
Currency Contracts Rise on Anticipation Of Lower U.S. Rates,2/13/1986,Historical Newspapers,Wall Street Journal
"Area Cuts Capital Spending By 33%, Cites Falling Prices",2/13/1986,Historical Newspapers,The Washington Post
Coffee Contracts Plunge On Removal of Quotas,2/14/1986,Historical Newspapers,New York Times
Ecuador Action on Oil,2/14/1986,Historical Newspapers,New York Times
Southland's Venezuela Deal,2/14/1986,Historical Newspapers,New York Times
Official Reports Texas Is Falling Short on Budget,2/14/1986,Historical Newspapers,New York Times
North Sea Oil Spot Market Grinds to Halt,2/14/1986,Historical Newspapers,Wall Street Journal
Tax Reform: Harmful if Passed,2/14/1986,Historical Newspapers,Wall Street Journal
London Trading in Turmoil,2/15/1986,Historical Newspapers,New York Times
Treasury Bond Prices Climb to 6 1/2-Year Peak,2/15/1986,Historical Newspapers,New York Times
Mexico Makes Deep Cut in Oil Price,2/15/1986,Historical Newspapers,New York Times
Producer Price Index Drops 0.7%,2/15/1986,Historical Newspapers,The Washington Post
Mexico Again Cuts Price of Export Oil,2/15/1986,Historical Newspapers,The Washington Post
A New Strain on Relations With Japan,2/16/1986,Historical Newspapers,New York Times
The Nation,2/16/1986,Historical Newspapers,New York Times
Mexico Tries an Open-Door Policy,2/16/1986,Historical Newspapers,New York Times
"Venezuela, Creditors Agree On Partial Debt Moratorium",2/16/1986,Historical Newspapers,The Washington Post
"Falling Oil Prices, Cheaper Dollar Upset Economic Forecasts",2/16/1986,Historical Newspapers,The Washington Post
"As Oil Prices Fall, Raise the Gas Tax",2/16/1986,Historical Newspapers,The Washington Post
More Good News on Inflation Expected After January Drop in Producer Prices,2/18/1986,Historical Newspapers,Wall Street Journal
Assessing the Dow's Strength,2/18/1986,Historical Newspapers,New York Times
Continued Oil Instability Seen,2/19/1986,Historical Newspapers,New York Times
Oil and Gas Prices Continue Slide,2/19/1986,Historical Newspapers,New York Times
"Dow Rises 14.33, to Record 1,678.78",2/19/1986,Historical Newspapers,New York Times
"'Real' Oil Price Is Elusive Figure As Discounts, Speculation Prevail",2/19/1986,Historical Newspapers,Wall Street Journal
Oil Prices Drop To 7-Year Low Of Under $15,2/19/1986,Historical Newspapers,Wall Street Journal
Dollar Plummets On Reagan Hopes For Further Drop,2/19/1986,Historical Newspapers,Wall Street Journal
Smaller U.S. Oil Producers Dropping Out,2/19/1986,Historical Newspapers,Wall Street Journal
U.S. Steel Unit Cuts Oil Prices,2/19/1986,Historical Newspapers,Wall Street Journal
Crude-Oil Prices Plunge Below $15 a Barrel,2/19/1986,Historical Newspapers,The Washington Post
Husky Oil Posts Price Of $9 for Heavy Crude,2/20/1986,Historical Newspapers,Wall Street Journal
Crude Oil Prices Gain After Hitting New Low,2/20/1986,Historical Newspapers,New York Times
Phibro-Salomon Reports Gain,2/20/1986,Historical Newspapers,New York Times
Key U.S. Crude Oil Price Falls,2/21/1986,Historical Newspapers,New York Times
"Speculators, B.P. and Sohio",2/21/1986,Historical Newspapers,New York Times
CREDIT RATINGS,2/21/1986,Historical Newspapers,Wall Street Journal
Oil Prices Plummet On Rumors Saudis Will Boost Output,2/21/1986,Historical Newspapers,Wall Street Journal
"Industrials Jump 14.56 on Decline In Oil Prices, Strong Bond Market",2/21/1986,Historical Newspapers,Wall Street Journal
Legislators Weigh Impact Of Tax-Reform Deadline,2/21/1986,Historical Newspapers,The Washington Post
Ailing Mexico Seeks New Terms on Its Debt,2/22/1986,Historical Newspapers,New York Times
Crude Oil and Gasoline Continue Their Declines,2/22/1986,Historical Newspapers,New York Times
Oil Slide Hurts Tax Shelters,2/22/1986,Historical Newspapers,New York Times
Mexico Seeks Relief on Foreign Debt,2/22/1986,Historical Newspapers,The Washington Post
"Dow Industrials Near 1,700",2/22/1986,Historical Newspapers,The Washington Post
Home Heating Oil Prices Hit 7-Year Low in Area,2/22/1986,Historical Newspapers,The Washington Post
A Shoppers' Paradise on the Prairie,2/23/1986,Historical Newspapers,New York Times
Differing Signals Over the Dollar,2/23/1986,Historical Newspapers,New York Times
Refiners Breathe A Sigh of Relief,2/23/1986,Historical Newspapers,New York Times
THE 'MYSTERY MAN' BUYING UP REFINERIES,2/23/1986,Historical Newspapers,New York Times
Libya to Cut Output,2/24/1986,Historical Newspapers,New York Times
Traders Retain Bearish Outlook For the Dollar,2/24/1986,Historical Newspapers,Wall Street Journal
Texaco's Canada Unit Cuts Price of Light Crude Oil,2/24/1986,Historical Newspapers,Wall Street Journal
Four Major Oil Firms Accused by Transnor Of Price Manipulation,2/24/1986,Historical Newspapers,Wall Street Journal
Soviets Worry That Oil Crisis Could Crimp Plans for Economy,2/24/1986,Historical Newspapers,Wall Street Journal
Falling Oil Prices Spur Inflation Optimism,2/25/1986,Historical Newspapers,Wall Street Journal
Saudis Deny Blame for Oil Price Plunge While Further Expanding Market Share,2/25/1986,Historical Newspapers,Wall Street Journal
Crude Oil Prices Climb; Treasury Bonds Strong,2/25/1986,Historical Newspapers,New York Times
0.7% Local Rise in Costs Tops National Increase,2/26/1986,Historical Newspapers,New York Times
Eastern Effect On Competitors,2/26/1986,Historical Newspapers,New York Times
Dow Declines 5.62 on Profit Taking,2/26/1986,Historical Newspapers,New York Times
Prices Climb Strongly On Livestock and Meat,2/26/1986,Historical Newspapers,New York Times
"Oil Prices Fall, But Heating-Oil Bills Stay High",2/26/1986,Historical Newspapers,Wall Street Journal
"Heating-Oil Prices Rise on Weather In Europe, U.S.",2/26/1986,Historical Newspapers,Wall Street Journal
Amoco Reduces '86 Outlays 30% To $3.5 Billion,2/26/1986,Historical Newspapers,Wall Street Journal
Investors Continue Profit-Taking And Push Stock Averages Lower,2/26/1986,Historical Newspapers,Wall Street Journal
Increase Smallest Since September,2/26/1986,Historical Newspapers,The Washington Post
Amoco Reduces Spending 30%,2/26/1986,Historical Newspapers,The Washington Post
Heating Oil Is Down; Leaded Gasoline Jumps,2/27/1986,Historical Newspapers,New York Times
"U.S., Mexico Agree Emergency Loan Isn't Necessary",2/27/1986,Historical Newspapers,Wall Street Journal
Natural Gas Prices Are Expected to Drop in 1986,2/27/1986,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,2/28/1986,Historical Newspapers,Wall Street Journal
OIL PRICES,2/28/1986,Historical Newspapers,Wall Street Journal
Oil Impact on Poorer Nations,2/28/1986,Historical Newspapers,New York Times
Fishing Strike Is Nearing an End With Both Sides Claiming Gains,2/28/1986,Historical Newspapers,New York Times
"17.09 Gain Puts Dow At 1,713.99",2/28/1986,Historical Newspapers,New York Times
"Gains, Losses At Institutions",2/28/1986,Historical Newspapers,New York Times
U.S. Bond Contracts Climb the Daily Limit,2/28/1986,Historical Newspapers,New York Times
"British Petroleum, Taking Firm Control At Standard, Replaces Unit's Top Aides",2/28/1986,Historical Newspapers,Wall Street Journal
Stock Prices Ride Bonds' Coattails; Industrials Soar Past 1700 Barrier,2/28/1986,Historical Newspapers,Wall Street Journal
Austrian Arms Sales to Iran Alleged,2/28/1986,Historical Newspapers,The Washington Post
U.S. Officials Worried About Egyptian Outlook,2/28/1986,Historical Newspapers,The Washington Post
U.S. Charges Boston Bank With Laundering Money,2/28/1986,Historical Newspapers,The Washington Post
Riots Increase Mubarak's Dependence on Military,2/28/1986,Historical Newspapers,The Washington Post
Unocal Outlay Cut,3/1/1986,Historical Newspapers,New York Times
Oil Trades Under $13 Before Recovering a Bit,3/1/1986,Historical Newspapers,New York Times
U.S. Crude-Oil Prices Fall To 1978-Era $13 a Barrel,3/1/1986,Historical Newspapers,The Washington Post
Decline in Oil Prices Barrier to Repayment,3/1/1986,Historical Newspapers,The Washington Post
Texas Air Comes To Eastern's Aid,3/2/1986,Historical Newspapers,New York Times
Another Battering for Texas Banks,3/2/1986,Historical Newspapers,New York Times
Prospects,3/2/1986,Historical Newspapers,New York Times
Send Japan's Excess Yen To Money-Starved Mexico,3/2/1986,Historical Newspapers,The Washington Post
Stable Exchange Rates Seen Not Likely Soon,3/2/1986,Historical Newspapers,The Washington Post
"British, Canadian Currencies Plunge On Oil Prediction",3/3/1986,Historical Newspapers,Wall Street Journal
OIL PRICES,3/3/1986,Historical Newspapers,Wall Street Journal
Prices of Crude-Oil Futures Briefly Plunge Below $13,3/3/1986,Historical Newspapers,Wall Street Journal
Prices for Crude Oil Close Near $12 a Barrel,3/4/1986,Historical Newspapers,New York Times
